,precision,recall,f1-score,support
0,0.9200773998794022,0.8357142857142857,0.8507898926261287,28.0
1,0.7045344932844932,0.623529411764706,0.6369398958500561,17.0
2,0.6385569985569987,0.7111111111111111,0.6130169230441462,9.0
3,0.5358333333333334,0.7333333333333333,0.5555555555555556,3.0
4,0.7665723749934277,0.6555555555555556,0.6377033492822967,9.0
accuracy,0.734848484848485,0.734848484848485,0.734848484848485,0.734848484848485
macro avg,0.7131149200095309,0.7118487394957983,0.6588011232716366,66.0
weighted avg,0.787771484006265,0.734848484848485,0.7208067324331395,66.0
