,precision,recall,f1-score,support
0,0.8844748226843683,0.7695632842227705,0.7771193480510219,843.2
1,0.10483240757067065,0.3132362155388471,0.08374296604613415,18.8
accuracy,0.7596287703016242,0.7596287703016242,0.7596287703016242,0.7596287703016242
macro avg,0.49465361512751943,0.5413997498808089,0.430431157048578,862.0
weighted avg,0.8670952208456612,0.7596287703016242,0.7619063627085021,862.0
