,precision,recall,f1-score,support
0,0.9096942178565071,0.7696340973059911,0.8315058899237094,12435.0
1,0.5104094172577166,0.7464898595943839,0.5996308424771896,3846.0
accuracy,0.7641668202198881,0.7641668202198881,0.7641668202198881,0.7641668202198881
macro avg,0.7100518175571117,0.7580619784501875,0.7155683662004495,16281.0
weighted avg,0.8153726563367633,0.7641668202198881,0.7767309109617713,16281.0
