,precision,recall,f1-score,support
0,0.8035173047934089,0.9915480498592683,0.8876239421747247,12435.0
1,0.8949259666546707,0.2153146125845034,0.34361339419858594,3846.0
accuracy,0.8081813156440022,0.8081813156440022,0.8081813156440022,0.8081813156440022
macro avg,0.8492216357240399,0.6034313312218857,0.6156186681866553,16281.0
weighted avg,0.8251104325815308,0.8081813156440022,0.7591143563067664,16281.0
