,precision,recall,f1-score,support
0,0.9859560212850889,1.0,0.9929213011478136,841.8
1,1.0,0.4091493225444632,0.5566659605325934,20.2
accuracy,0.9860788863109047,0.9860788863109047,0.9860788863109047,0.9860788863109047
macro avg,0.9929780106425443,0.7045746612722316,0.7747936308402034,862.0
weighted avg,0.9863019271546282,0.9860788863109047,0.9826449529226549,862.0
