,precision,recall,f1-score,support
0,0.9444800233302599,0.73610776035384,0.825389147120213,12435.0
1,0.5073106588008218,0.8560582423296932,0.6336812127946044,3846.0
accuracy,0.764443216018672,0.764443216018672,0.764443216018672,0.764443216018672
macro avg,0.725895341065541,0.7960830013417665,0.7295351799574089,16281.0
weighted avg,0.8412091323542621,0.764443216018672,0.7801026957095939,16281.0
