,precision,recall,f1-score,support
0,0.8058965236551444,0.5535714285714286,0.5994532325122899,28.0
1,0.41523582218775346,0.7411764705882352,0.4787765048127367,17.0
2,0.18507894736842107,0.22222222222222224,0.14093200916730328,9.0
3,0.25,0.2,0.19666666666666668,3.0
4,0.4095959595959596,0.3222222222222222,0.29424525365701837,9.0
accuracy,0.509090909090909,0.509090909090909,0.509090909090909,0.509090909090909
macro avg,0.4131614505614557,0.40783846872082175,0.342014733363203,66.0
weighted avg,0.5413058454881102,0.509090909090909,0.4459164614784778,66.0
